province,region,commune_id,commune_type,area_commune_km2,elevation_m,distance_to_urban_km,ndvi,road_density_km_per_km2,land_use_type,annual_rainfall_mm,nearest_market_km,census_population,census_density,n_microcensus_points,microcensus_total_persons,microcensus_total_households,microcensus_mean_density,has_microcensus_data,missing_mechanism,n_grid_cells_100m
Quảng Trị,duyen_hai_mien_trung,COM_0444,xa,58.729,487.15,17.21,0.5929,3.1067,agricultural,2079.72,8.64,5921,100.82,38,5962,1183,98.91,1,observed,5872
Nghệ An,duyen_hai_mien_trung,COM_0445,xa,43.978,833.49,71.35,0.1182,3.1179,agricultural,1677.62,36.62,6760,153.73,19,7061,1498,146.75,0,MNAR_high_density,4397
Nghệ An,duyen_hai_mien_trung,COM_0446,xa,20.7161,986.05,61.85,0.5861,3.8379,forest,2051.39,17.64,2455,118.51,33,2189,519,104.54,0,MNAR_high_density,2071
Hà Tĩnh,duyen_hai_mien_trung,COM_0447,xa,61.1806,404.88,51.84,0.4128,3.0614,agricultural,2008.05,27.75,7462,121.98,25,7898,1450,127.92,0,MAR,6118
Ninh Bình,dong_bang_song_hong,COM_0448,xa,48.3732,52.41,24.96,0.8834,0.4374,forest,2080.45,30.11,11971,247.48,23,12294,3303,232.78,1,observed,4837
Huế,duyen_hai_mien_trung,COM_0449,xa,29.3121,30.26,82.87,0.5443,3.7912,forest,3268.76,25.94,8903,303.75,12,7849,1634,247.45,0,MNAR_high_density,2931
Huế,duyen_hai_mien_trung,COM_0450,xa,55.3548,138.88,31.26,0.6222,0.5778,mixed,3076.44,6.46,97987,1770.18,42,111540,22582,2052.48,1,observed,5535
Nghệ An,duyen_hai_mien_trung,COM_0451,xa,26.6316,999.47,94.48,0.8173,2.508,forest,1818.23,27.28,2014,75.65,47,1912,430,73.75,0,MNAR_high_density,2663
Đồng Nai,dong_nam_bo,COM_0452,thi_tran,31.6781,185.8,19.98,0.7891,4.2138,forest,2402.9,7.21,12744,402.31,9,11393,2949,348.63,1,observed,3167
Lai Châu,mien_nui_phia_bac,COM_0453,xa,54.6767,2131.72,56.56,0.7833,1.1961,forest,2117.94,48.87,1131,20.7,24,1073,228,19.08,0,MNAR_high_density,5467
Ninh Bình,dong_bang_song_hong,COM_0454,thi_tran,32.6227,28.38,20.16,0.5112,1.6688,agricultural,1581.86,2.51,41479,1271.48,36,43866,9000,1355.18,1,observed,3262
Cao Bằng,mien_nui_phia_bac,COM_0455,phuong,6.348,483.38,2.57,0.45,6.8256,residential,1734.0,1.35,625,98.52,23,543,141,83.56,1,observed,634
Hà Tĩnh,duyen_hai_mien_trung,COM_0456,xa,79.7376,337.96,27.1,0.4968,1.3748,forest,1905.82,42.99,11360,142.47,45,11431,2198,139.84,0,MNAR_high_density,7973
Đồng Nai,dong_nam_bo,COM_0457,xa,30.5743,14.0,36.15,0.3609,1.2459,agricultural,2326.08,46.95,9638,315.26,41,8476,1998,284.13,1,observed,3057
Huế,duyen_hai_mien_trung,COM_0458,phuong,13.1428,319.26,8.53,0.45,6.9925,residential,3198.97,1.47,24352,1852.88,20,22402,4504,1569.54,0,MNAR_high_density,1314
Phú Thọ,mien_nui_phia_bac,COM_0459,xa,61.4542,237.68,55.14,0.6356,3.1423,residential,1413.51,6.61,15796,257.04,24,15374,3507,230.61,1,observed,6145
Điện Biên,mien_nui_phia_bac,COM_0460,xa,71.4038,624.58,60.48,0.4253,0.7236,residential,1846.01,4.03,4109,57.55,29,4019,817,58.15,0,MNAR_high_density,7140
Hà Nội,dong_bang_song_hong,COM_0461,phuong,13.081,37.71,8.29,0.45,9.9734,residential,1440.76,1.69,109936,8404.26,47,125721,27954,9598.8,1,observed,1308
Hải Phòng,dong_bang_song_hong,COM_0462,phuong,10.5798,21.74,6.19,0.45,5.9525,residential,1686.34,1.86,15678,1481.95,5,16672,4713,1556.66,1,observed,1057
Nghệ An,duyen_hai_mien_trung,COM_0463,xa,44.6452,375.89,91.84,0.7694,3.8673,forest,1453.19,12.92,5244,117.47,15,5700,1444,132.69,1,observed,4464
Cần Thơ,dong_bang_song_cuu_long,COM_0464,thi_tran,17.6679,7.21,24.22,0.8887,1.6395,forest,2304.86,3.86,9613,544.1,28,10460,2573,558.07,1,observed,1766
Phú Thọ,mien_nui_phia_bac,COM_0465,xa,22.1638,301.54,67.75,0.8102,2.3955,forest,1894.69,11.91,4957,223.67,21,4920,1117,202.4,1,observed,2216
Hải Phòng,dong_bang_song_hong,COM_0466,phuong,4.753,2.7,1.64,0.157,9.9186,residential,1479.53,4.15,8987,1890.92,23,9360,2059,2053.08,1,observed,475
Hải Phòng,dong_bang_song_hong,COM_0467,xa,68.6312,21.35,14.77,0.48,2.4335,agricultural,1425.53,11.96,99334,1447.37,11,112019,28702,1772.42,0,MNAR_high_density,6863
Điện Biên,mien_nui_phia_bac,COM_0468,xa,65.9281,551.81,85.94,0.6792,1.3902,forest,2287.42,36.69,3029,45.95,36,3482,747,56.08,1,observed,6592
Thanh Hóa,duyen_hai_mien_trung,COM_0469,thi_tran,10.2664,564.36,5.31,0.5382,3.632,agricultural,1948.74,13.84,5384,524.51,26,5940,1237,566.08,1,observed,1026
Thanh Hóa,duyen_hai_mien_trung,COM_0470,thi_tran,34.1305,148.58,29.08,0.6488,0.9055,residential,2103.62,7.08,8174,239.52,31,7750,1475,216.57,0,MNAR_high_density,3413
Điện Biên,mien_nui_phia_bac,COM_0471,xa,73.4098,1127.14,82.1,0.1431,0.0119,agricultural,1666.25,48.85,2813,38.33,23,3207,752,39.56,0,MNAR_high_density,7340
Hải Phòng,dong_bang_song_hong,COM_0472,xa,79.9298,18.41,89.53,0.8269,3.1762,forest,1676.56,4.98,21760,272.24,27,22204,4822,296.5,0,MCAR,7992
Vĩnh Long,dong_bang_song_cuu_long,COM_0473,xa,53.5374,2.35,10.02,0.5928,1.2256,forest,2220.44,23.32,16847,314.69,6,14703,2693,249.0,1,observed,5353
Hải Phòng,dong_bang_song_hong,COM_0474,xa,64.7122,3.93,23.87,0.6015,3.0017,mixed,1563.55,6.43,146676,2266.6,22,137493,30160,2287.36,1,observed,6471
Lào Cai,mien_nui_phia_bac,COM_0475,xa,58.4204,2560.81,90.21,0.644,0.1108,residential,2944.77,48.46,4327,74.08,18,4655,1267,81.43,0,MNAR_high_density,5842
Cà Mau,dong_bang_song_cuu_long,COM_0476,xa,70.8951,6.32,18.52,0.2319,1.9211,forest,2303.97,45.86,10353,146.04,38,11077,2593,152.92,0,MNAR_high_density,7089
Đồng Tháp,dong_bang_song_cuu_long,COM_0477,xa,57.437,3.9,97.43,0.1745,3.118,agricultural,2093.18,2.25,16022,278.95,38,16103,3416,272.94,1,observed,5743
Vĩnh Long,dong_bang_song_cuu_long,COM_0478,xa,79.7434,1.81,75.26,0.8584,2.5961,forest,2377.88,49.73,33647,421.95,38,33617,6300,449.47,0,MAR,7974
Hà Tĩnh,duyen_hai_mien_trung,COM_0479,xa,51.3045,8.97,69.77,0.5914,0.1361,forest,2563.43,16.1,8507,165.82,5,7724,1587,163.61,1,observed,5130
Nghệ An,duyen_hai_mien_trung,COM_0480,xa,39.0745,887.39,23.0,0.276,2.7625,residential,1985.89,14.14,6350,162.52,9,5802,1612,134.96,0,MNAR_high_density,3907
Hà Tĩnh,duyen_hai_mien_trung,COM_0481,xa,23.1048,477.45,66.34,0.3091,2.5589,residential,1869.41,49.68,3009,130.25,23,3415,780,159.64,1,observed,2310
Hải Phòng,dong_bang_song_hong,COM_0482,phuong,14.3408,12.09,8.42,0.45,3.5354,residential,1887.19,1.4,34700,2419.67,50,31944,7882,2434.43,1,observed,1434
Hà Nội,dong_bang_song_hong,COM_0483,xa,25.668,37.34,29.93,0.8495,1.0018,forest,1273.65,41.72,25287,985.18,45,28128,7225,1054.27,1,observed,2566
Lai Châu,mien_nui_phia_bac,COM_0484,xa,63.3744,1323.26,41.49,0.5936,0.1007,forest,2605.97,23.2,2889,45.6,21,2739,555,43.93,1,observed,6337
Thanh Hóa,duyen_hai_mien_trung,COM_0485,xa,76.6387,182.24,69.2,0.1399,2.8865,agricultural,1951.52,19.02,11721,152.95,6,11798,2166,153.02,1,observed,7663
Hà Nội,dong_bang_song_hong,COM_0486,xa,23.0576,5.58,41.53,0.1484,2.8078,agricultural,1381.24,20.31,87430,3791.81,9,96944,27678,4211.29,1,observed,2305
Hà Nội,dong_bang_song_hong,COM_0487,xa,74.1532,39.38,22.59,0.5497,0.4525,forest,1773.21,26.12,126500,1705.93,39,109083,27324,1343.22,1,observed,7415
Tuyên Quang,mien_nui_phia_bac,COM_0488,xa,38.7063,1034.14,63.38,0.1083,0.9155,forest,2038.11,3.89,1892,48.9,33,1847,507,44.03,1,observed,3870
Ninh Bình,dong_bang_song_hong,COM_0489,phuong,12.2302,34.64,4.66,0.2963,3.6754,residential,1662.79,0.41,15811,1292.85,36,15485,3018,1220.76,1,observed,1223
Thanh Hóa,duyen_hai_mien_trung,COM_0490,xa,53.0291,84.54,63.66,0.3925,3.8722,agricultural,1636.19,41.87,10727,202.3,29,9969,2083,170.62,0,MCAR,5302
Đồng Nai,dong_nam_bo,COM_0491,xa,30.6792,42.92,85.38,0.107,3.4831,residential,2074.16,40.21,8309,270.85,7,8514,1611,254.96,1,observed,3067
Nghệ An,duyen_hai_mien_trung,COM_0492,xa,37.9706,3.36,27.37,0.3701,1.2888,forest,1437.89,20.06,4269,112.43,17,4886,918,123.94,1,observed,3797
Đắk Lắk,tay_nguyen,COM_0493,phuong,2.904,1136.85,5.25,0.2195,8.4442,residential,1554.7,3.77,534,184.13,11,459,96,149.15,1,observed,290
Hải Phòng,dong_bang_song_hong,COM_0494,xa,60.6783,15.69,22.91,0.7362,3.8445,forest,1833.1,45.98,37718,621.61,35,43224,11721,699.86,1,observed,6067
Sơn La,mien_nui_phia_bac,COM_0495,xa,61.2233,526.77,91.25,0.6145,1.8524,forest,2103.24,24.38,3012,49.21,42,2674,623,42.69,0,MNAR_high_density,6122
Ninh Bình,dong_bang_song_hong,COM_0496,xa,56.145,30.24,80.04,0.1516,1.0529,agricultural,2189.76,35.6,23664,421.49,31,22810,4264,427.78,1,observed,5614
Sơn La,mien_nui_phia_bac,COM_0497,xa,66.7165,504.3,35.65,0.8172,3.085,forest,1993.79,33.73,3412,51.15,20,3601,727,57.69,0,MNAR_high_density,6671
Điện Biên,mien_nui_phia_bac,COM_0498,xa,79.8654,907.4,48.59,0.781,1.2532,forest,2005.49,33.61,2571,32.2,26,2290,577,29.89,0,MNAR_high_density,7986
Đồng Nai,dong_nam_bo,COM_0499,xa,31.9657,166.09,14.05,0.8217,0.1563,forest,2165.58,3.86,13850,433.29,13,14470,3751,479.53,1,observed,3196
Đồng Nai,dong_nam_bo,COM_0500,xa,23.37,49.95,76.75,0.4298,2.264,mixed,1832.39,23.03,5424,232.1,23,5117,948,198.6,1,observed,2337
Huế,duyen_hai_mien_trung,COM_0501,xa,62.1256,355.6,48.35,0.6356,1.794,agricultural,2974.82,39.06,14469,232.9,12,14499,3428,228.92,1,observed,6212
Ninh Bình,dong_bang_song_hong,COM_0502,xa,65.7244,55.86,31.47,0.6672,3.7952,forest,1564.09,16.98,20946,318.7,40,20784,4477,304.48,1,observed,6572
Lai Châu,mien_nui_phia_bac,COM_0503,xa,74.5922,1887.99,35.14,0.6143,1.2498,agricultural,2983.7,20.2,3135,42.04,8,3583,790,46.93,0,MNAR_high_density,7459
Đồng Tháp,dong_bang_song_cuu_long,COM_0504,xa,34.6884,5.17,41.75,0.1287,1.6717,agricultural,1802.75,42.51,10903,314.32,34,11244,2929,331.81,1,observed,3468
Khánh Hòa,tay_nguyen,COM_0505,xa,27.7845,65.32,99.4,0.1071,2.8474,agricultural,1642.04,39.51,6549,235.72,23,6974,1696,270.73,1,observed,2778
Cần Thơ,dong_bang_song_cuu_long,COM_0506,xa,64.4823,3.65,82.04,0.7591,2.2865,forest,1930.89,48.54,19864,308.06,30,19121,4325,269.6,1,observed,6448
Đà Nẵng,duyen_hai_mien_trung,COM_0507,xa,69.3605,404.42,39.32,0.6707,2.3384,forest,2424.48,49.66,30975,446.58,50,27747,6734,420.79,1,observed,6936
Phú Thọ,mien_nui_phia_bac,COM_0508,thi_tran,36.2631,176.35,14.67,0.3822,1.0316,mixed,1662.91,13.96,17746,489.39,16,19866,4055,551.39,1,observed,3626
Cần Thơ,dong_bang_song_cuu_long,COM_0509,xa,29.23,7.6,68.02,0.8594,2.1412,forest,2192.65,24.49,10917,373.5,24,11638,2467,396.67,1,observed,2923
Đắk Lắk,tay_nguyen,COM_0510,xa,62.4644,1309.88,31.38,0.1953,0.941,agricultural,1689.14,29.65,18885,302.34,44,20159,3974,352.05,0,MNAR_high_density,6246
Lạng Sơn,mien_nui_phia_bac,COM_0511,xa,30.1818,923.59,23.55,0.817,0.1535,forest,1513.2,16.69,2074,68.74,11,2332,567,71.92,1,observed,3018
Nghệ An,duyen_hai_mien_trung,COM_0512,phuong,12.735,997.3,7.86,0.45,5.1225,residential,2034.13,3.03,4767,374.39,20,5029,990,431.31,1,observed,1273
Lào Cai,mien_nui_phia_bac,COM_0513,xa,68.027,2818.13,66.8,0.358,1.3604,agricultural,2130.61,44.43,4772,70.15,50,5419,1146,82.34,1,observed,6802
Hà Nội,dong_bang_song_hong,COM_0514,phuong,5.0766,37.3,8.26,0.1842,2.5325,residential,1287.7,4.14,22931,4517.07,22,20630,5069,3782.22,0,MCAR,507
Tuyên Quang,mien_nui_phia_bac,COM_0515,xa,40.8051,1291.5,76.46,0.3383,0.914,agricultural,1500.74,48.13,2846,69.77,6,2666,489,66.92,1,observed,4080
Đắk Lắk,tay_nguyen,COM_0516,xa,43.9833,898.3,62.51,0.8895,1.0797,forest,1662.37,9.67,3171,72.1,23,3543,807,82.29,0,MNAR_high_density,4398
Quảng Ninh,dong_bang_song_hong,COM_0517,xa,24.6955,227.41,96.37,0.168,3.3527,mixed,1958.33,26.72,5264,213.17,47,5576,1414,217.88,0,MNAR_high_density,2469
Ninh Bình,dong_bang_song_hong,COM_0518,xa,47.6588,51.4,92.27,0.2989,3.5519,residential,1953.91,39.36,18804,394.56,34,17199,4257,367.94,1,observed,4765
An Giang,dong_bang_song_cuu_long,COM_0519,phuong,10.3683,11.34,6.92,0.45,9.687,mixed,1634.18,3.38,3611,348.31,9,3302,923,325.98,1,observed,1036
Hà Nội,dong_bang_song_hong,COM_0520,phuong,6.7345,15.72,2.0,0.2182,9.489,residential,1429.99,3.68,34563,5132.3,33,33280,6080,5156.94,1,observed,673
Phú Thọ,mien_nui_phia_bac,COM_0521,xa,34.4905,241.74,74.28,0.1531,0.5101,agricultural,1764.18,48.65,6847,198.52,6,6106,1325,166.33,1,observed,3449
Huế,duyen_hai_mien_trung,COM_0522,xa,29.5305,29.66,89.22,0.2058,0.1886,forest,3347.72,26.21,7260,245.85,18,8020,1936,259.3,1,observed,2953
TP. Hồ Chí Minh,dong_nam_bo,COM_0523,phuong,13.9342,0.28,5.79,0.45,6.6184,mixed,1489.73,2.14,174374,12514.17,25,177406,35284,13443.68,1,observed,1393
Lào Cai,mien_nui_phia_bac,COM_0524,thi_tran,32.6486,1809.24,4.09,0.6432,3.7244,residential,2752.56,6.35,2015,61.74,28,2223,449,63.65,0,MNAR_high_density,3264
Sơn La,mien_nui_phia_bac,COM_0525,xa,76.6998,500.33,16.31,0.7317,2.2202,forest,1502.83,2.69,6245,81.43,11,6691,1284,94.18,0,MAR,7669
Nghệ An,duyen_hai_mien_trung,COM_0526,xa,76.5309,250.6,81.1,0.6339,2.1539,residential,1563.66,9.77,11051,144.41,18,9477,2341,115.34,1,observed,7653
TP. Hồ Chí Minh,dong_nam_bo,COM_0527,phuong,9.2921,47.86,6.74,0.45,4.2253,agricultural,1777.23,1.41,138941,14952.64,45,119557,31000,13662.16,1,observed,929
Bắc Ninh,dong_bang_song_hong,COM_0528,xa,76.2539,27.07,6.94,0.7335,1.832,forest,1694.78,1.33,31489,412.95,42,32619,7950,411.54,1,observed,7625
Hà Tĩnh,duyen_hai_mien_trung,COM_0529,xa,37.458,175.87,26.76,0.8485,1.586,forest,2385.27,15.78,4048,108.07,34,4323,1072,112.06,1,observed,3745
Hải Phòng,dong_bang_song_hong,COM_0530,xa,70.8702,29.84,87.93,0.8119,1.2917,forest,1641.0,14.14,28584,403.34,23,29072,7103,383.12,1,observed,7087
Nghệ An,duyen_hai_mien_trung,COM_0531,thi_tran,29.6334,417.73,22.11,0.1418,2.9979,agricultural,1945.91,2.84,2494,84.19,49,2736,534,98.87,1,observed,2963
Hà Nội,dong_bang_song_hong,COM_0532,thi_tran,11.5842,0.03,14.22,0.7197,0.6568,forest,1591.35,16.55,11928,1029.7,17,12067,2348,956.83,1,observed,1158
Hà Tĩnh,duyen_hai_mien_trung,COM_0533,thi_tran,15.878,477.36,10.2,0.7056,4.7699,forest,2374.27,9.97,2242,141.26,35,2464,480,165.99,1,observed,1587
Thái Nguyên,mien_nui_phia_bac,COM_0534,xa,45.4989,292.45,45.76,0.4159,1.2408,residential,1793.55,7.69,15782,346.87,8,14008,3813,335.56,1,observed,4549
TP. Hồ Chí Minh,dong_nam_bo,COM_0535,phuong,12.6055,15.57,1.39,0.45,7.6401,agricultural,2113.66,1.46,98599,7821.97,28,110731,29877,9536.72,1,observed,1260
Sơn La,mien_nui_phia_bac,COM_0536,thi_tran,10.2899,1094.64,4.51,0.3862,1.5068,mixed,2104.04,16.47,798,77.61,38,832,196,80.41,1,observed,1028
Ninh Bình,dong_bang_song_hong,COM_0537,thi_tran,14.3247,49.14,8.51,0.6328,2.0805,mixed,2073.48,10.11,16580,1157.5,48,15075,2886,1120.38,1,observed,1432
Hà Nội,dong_bang_song_hong,COM_0538,xa,55.0852,6.4,35.5,0.2546,0.458,mixed,1553.6,18.57,238462,4328.97,12,268992,50133,4777.23,1,observed,5508
Gia Lai,tay_nguyen,COM_0539,xa,62.8252,412.47,67.31,0.2306,0.7623,agricultural,1900.33,24.09,5243,83.46,10,5800,1201,89.05,1,observed,6282
Sơn La,mien_nui_phia_bac,COM_0540,xa,42.3763,449.48,91.92,0.3617,2.8339,forest,1603.11,4.13,2528,59.66,36,2317,508,49.65,0,MNAR_high_density,4237
Bắc Ninh,dong_bang_song_hong,COM_0541,phuong,14.1133,22.85,9.27,0.45,7.1951,agricultural,1508.35,0.12,7617,539.73,33,8076,1589,582.55,1,observed,1411
Lạng Sơn,mien_nui_phia_bac,COM_0542,xa,37.2065,336.03,57.19,0.4573,2.0731,agricultural,1763.17,32.29,2612,70.21,9,2885,693,72.81,0,MNAR_high_density,3720
Cao Bằng,mien_nui_phia_bac,COM_0543,xa,25.2643,1165.52,26.06,0.2547,0.4792,mixed,1877.88,47.4,2231,88.32,34,2238,531,91.07,1,observed,2526
Thanh Hóa,duyen_hai_mien_trung,COM_0544,thi_tran,10.6948,40.6,27.31,0.8061,4.1342,forest,1699.61,10.75,2117,197.96,31,2368,619,206.88,1,observed,1069
Hải Phòng,dong_bang_song_hong,COM_0545,xa,57.1196,27.8,29.5,0.6543,3.9499,forest,1490.36,5.33,31372,549.24,48,31139,6218,521.73,1,observed,5711
Cần Thơ,dong_bang_song_cuu_long,COM_0546,xa,30.5217,2.76,10.14,0.8912,3.1346,forest,2088.43,29.2,12950,424.29,26,12161,3044,403.02,1,observed,3052
Thanh Hóa,duyen_hai_mien_trung,COM_0547,xa,67.8848,693.09,27.55,0.5768,0.6706,mixed,1752.2,36.61,13713,202.01,24,15024,2850,237.03,1,observed,6788
TP. Hồ Chí Minh,dong_nam_bo,COM_0548,xa,62.1015,5.1,39.86,0.5421,3.0311,agricultural,2022.04,42.04,363557,5854.24,39,333816,74516,5427.54,1,observed,6210
Nghệ An,duyen_hai_mien_trung,COM_0549,xa,64.1306,681.34,39.41,0.137,0.0811,forest,1657.25,7.75,10756,167.73,22,10488,2161,162.76,1,observed,6413
Hưng Yên,dong_bang_song_hong,COM_0550,xa,65.8854,16.89,90.07,0.4475,3.0792,forest,1354.23,46.53,48913,742.4,6,51205,14349,819.18,1,observed,6588
Hải Phòng,dong_bang_song_hong,COM_0551,phuong,11.4871,25.47,4.99,0.45,4.4977,agricultural,1839.87,1.91,9880,860.17,32,10574,2690,986.71,1,observed,1148
Thanh Hóa,duyen_hai_mien_trung,COM_0552,phuong,5.3795,671.92,6.21,0.45,4.3673,residential,2446.55,3.67,1793,333.47,14,1703,396,330.84,1,observed,537
Đà Nẵng,duyen_hai_mien_trung,COM_0553,thi_tran,33.8771,5.78,15.62,0.2227,3.1949,residential,2033.04,3.69,41530,1225.91,43,47159,12737,1370.7,1,observed,3387
Hà Nội,dong_bang_song_hong,COM_0554,xa,35.1911,1.5,16.3,0.8335,1.3201,forest,1564.88,23.79,47995,1363.85,10,55030,10713,1639.31,1,observed,3519
TP. Hồ Chí Minh,dong_nam_bo,COM_0555,xa,72.2604,0.61,14.24,0.4611,3.0465,mixed,1816.88,18.42,95967,1328.08,38,107745,24157,1570.23,1,observed,7226
Đồng Tháp,dong_bang_song_cuu_long,COM_0556,xa,22.0353,7.3,26.45,0.7247,2.7355,forest,2341.23,48.41,5604,254.35,12,6107,1249,303.64,1,observed,2203
Phú Thọ,mien_nui_phia_bac,COM_0557,xa,77.1219,133.98,70.73,0.5047,2.1494,forest,1693.24,30.42,15798,204.85,9,13949,2970,169.45,1,observed,7712
Lạng Sơn,mien_nui_phia_bac,COM_0558,xa,29.6238,860.58,76.73,0.1297,2.2374,agricultural,1382.07,43.94,2349,79.3,43,2575,703,86.74,0,MNAR_high_density,2962
Hà Nội,dong_bang_song_hong,COM_0559,xa,56.2055,49.23,39.35,0.7505,1.3077,forest,1679.53,30.44,70560,1255.41,42,60607,14454,974.58,1,observed,5620
Lào Cai,mien_nui_phia_bac,COM_0560,xa,34.4392,2519.78,32.22,0.5967,1.2008,agricultural,1856.17,27.24,3130,90.91,35,3370,804,91.2,1,observed,3443
Bắc Ninh,dong_bang_song_hong,COM_0561,thi_tran,12.5667,9.34,2.35,0.4472,3.6846,mixed,1602.15,17.01,13355,1062.79,48,12245,2272,930.55,0,MNAR_high_density,1256
Cà Mau,dong_bang_song_cuu_long,COM_0562,xa,22.9897,5.3,11.03,0.656,3.7464,forest,2698.64,19.21,4559,198.34,17,3986,837,168.78,1,observed,2298
TP. Hồ Chí Minh,dong_nam_bo,COM_0563,thi_tran,28.4783,36.0,19.39,0.5239,3.1023,residential,2090.61,7.06,264540,9289.21,20,301536,77526,10022.29,1,observed,2847
Gia Lai,tay_nguyen,COM_0564,xa,63.7226,1447.98,46.73,0.1779,1.0032,residential,2229.6,26.76,7270,114.09,30,6793,1568,115.02,0,MNAR_high_density,6372
Lạng Sơn,mien_nui_phia_bac,COM_0565,xa,78.2082,659.2,65.41,0.7323,1.0039,forest,1718.67,14.73,5135,65.67,34,5186,1139,70.96,1,observed,7820
Sơn La,mien_nui_phia_bac,COM_0566,xa,42.2677,1849.17,83.01,0.7489,0.9281,forest,2110.37,15.66,2400,56.8,41,2758,504,65.42,1,observed,4226
Huế,duyen_hai_mien_trung,COM_0567,xa,65.8138,133.32,41.36,0.7925,3.8902,forest,3276.36,11.64,18232,277.03,42,16791,3166,263.84,1,observed,6581
Thái Nguyên,mien_nui_phia_bac,COM_0568,xa,56.505,577.13,16.63,0.6399,3.5274,mixed,1665.83,17.88,14750,261.04,36,13290,3007,219.68,0,MNAR_high_density,5650
Lào Cai,mien_nui_phia_bac,COM_0569,xa,34.8903,1841.14,80.22,0.6368,0.4546,agricultural,2584.04,27.92,1106,31.71,37,1097,281,30.67,0,MNAR_high_density,3489
An Giang,dong_bang_song_cuu_long,COM_0570,thi_tran,33.3866,10.39,2.37,0.748,4.9154,forest,1618.22,14.64,9313,278.97,41,9893,2421,279.98,1,observed,3338
Hưng Yên,dong_bang_song_hong,COM_0571,thi_tran,38.7428,11.71,23.88,0.4018,0.5558,residential,1453.6,9.02,46772,1207.25,46,42182,10190,1043.9,1,observed,3874
Hưng Yên,dong_bang_song_hong,COM_0572,xa,56.3919,14.21,72.79,0.8942,1.3991,forest,1281.43,26.44,33836,600.02,20,38177,9475,614.65,0,MCAR,5639
Khánh Hòa,tay_nguyen,COM_0573,xa,57.1731,345.9,29.92,0.4409,0.4264,forest,1863.35,16.06,13779,241.01,13,12266,2422,204.75,1,observed,5717
Hà Nội,dong_bang_song_hong,COM_0574,phuong,13.1668,45.63,2.52,0.45,7.868,agricultural,1427.43,2.63,52509,3988.0,48,46280,8719,3771.89,1,observed,1316
Lào Cai,mien_nui_phia_bac,COM_0575,thi_tran,39.8227,2804.67,27.55,0.3277,1.4905,agricultural,2343.98,0.61,2765,69.44,10,2429,602,61.02,0,MAR,3982
Vĩnh Long,dong_bang_song_cuu_long,COM_0576,xa,77.1119,0.59,82.52,0.2735,0.6548,mixed,1801.11,37.31,26308,341.17,12,29171,5669,392.3,1,observed,7711
Hưng Yên,dong_bang_song_hong,COM_0577,xa,49.2269,2.15,27.49,0.5221,0.3161,mixed,1261.92,10.7,101940,2070.82,47,88747,18172,1850.28,1,observed,4922
Thanh Hóa,duyen_hai_mien_trung,COM_0578,xa,55.3192,461.71,33.94,0.6677,3.5337,forest,2146.32,12.42,10763,194.57,22,9560,2209,159.88,1,observed,5531
Lai Châu,mien_nui_phia_bac,COM_0579,xa,35.4482,2450.14,43.07,0.2299,0.0933,agricultural,3180.06,44.89,1650,46.55,30,1570,333,40.57,0,MNAR_high_density,3544
Hà Tĩnh,duyen_hai_mien_trung,COM_0580,phuong,9.3309,104.07,3.15,0.1278,3.3557,agricultural,2798.52,3.63,2541,272.35,13,2555,715,285.29,1,observed,933
Tuyên Quang,mien_nui_phia_bac,COM_0581,xa,23.3121,1252.7,80.63,0.2131,0.7824,residential,1942.8,4.08,2329,99.91,7,2126,482,92.53,1,observed,2331
Hà Nội,dong_bang_song_hong,COM_0582,xa,39.7017,26.77,85.61,0.6221,3.2273,agricultural,1579.75,15.12,70968,1787.54,20,78647,20893,2026.26,0,MCAR,3970
Lâm Đồng,tay_nguyen,COM_0583,xa,75.1417,2206.65,89.24,0.4832,0.2644,forest,2188.52,17.88,4280,56.96,21,4523,943,60.3,0,MNAR_high_density,7514
Khánh Hòa,tay_nguyen,COM_0584,phuong,2.8889,635.21,4.08,0.45,7.9135,residential,1314.71,1.99,2423,838.73,22,2554,557,942.26,1,observed,288
Lâm Đồng,tay_nguyen,COM_0585,xa,73.6672,2213.33,54.86,0.3214,0.2662,agricultural,2580.63,16.9,4460,60.55,36,4464,962,66.55,1,observed,7366
Điện Biên,mien_nui_phia_bac,COM_0586,xa,66.4168,978.51,28.63,0.861,2.2668,forest,1624.43,41.21,2222,33.47,23,2534,466,36.43,1,observed,6641
Nghệ An,duyen_hai_mien_trung,COM_0587,xa,64.7082,945.47,41.18,0.2079,0.4813,residential,1995.16,49.09,20731,320.39,25,23702,5703,354.1,1,observed,6470
Hà Tĩnh,duyen_hai_mien_trung,COM_0588,phuong,14.5969,535.67,5.7,0.3475,7.5844,mixed,2586.12,4.89,4365,299.05,28,4057,1023,290.43,1,observed,1459
Hà Nội,dong_bang_song_hong,COM_0589,phuong,10.0847,42.91,0.54,0.45,7.4183,residential,1440.81,4.49,54669,5421.07,29,60464,14754,6103.92,1,observed,1008
Ninh Bình,dong_bang_song_hong,COM_0590,xa,62.9679,70.01,63.29,0.3226,0.4431,agricultural,1546.45,12.82,17526,278.34,34,18106,3562,306.05,1,observed,6296
Cao Bằng,mien_nui_phia_bac,COM_0591,xa,37.7036,1246.86,57.78,0.5894,1.4789,forest,1939.29,36.56,1449,38.44,5,1631,318,39.83,0,MNAR_high_density,3770
